CaseNo,AwardOrg,AwardOrgVal,ImageYr,AwardDiv,AwardDivVal,PhotographerGen,PhotographerGenVal,PhotographerRace,PhotographerRaceVal,PhotographerPoC,PhotographerPoCVal,PhotographerNat,PhotographerNatVal,AssStat,AssStatVal,SubGen,SubGenVal,SubRace,SubRaceVal,SubNat,SubNatVal,SubLoc,SubLocVal,ShotAngle,ShotAngleVal,ShotType,ShotTypeVal,ImageClr,ImageClrVal,ImageOrient,ImageOrientVal,PresDeath,PresDeathVal,PresDis,PresDisVal,PresPolit,PresPolitVal,PresWar,PresWarVal,PresPov,PresPovVal,PresIll,PresIllVal,PresNud,PresNudVal,PresChil,PresChilVal,PresIncar,PresIncarVal,PresRefu,PresRefuVal,PresViol,PresViolVal,PresPolice,PresPoliceVal,PresMil,PresMilVal,Affect,AffectVal
1,POYi,1,2001,General News [POYi or WPP],3,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [All Male],3,Black,2,Caribbean,7,Caribbean,7,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
2,POYi,1,2002,Issues [Newspaper] POYi,4,Female,2,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [All Female],4,White,1,North America,1,North America,1,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
3,POYi,1,2002,Issues [Magazine] POYi,5,Male,1,White,1,No,2,North America,1,Freelance,2,Unclear,0,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Wide,3,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
4,POYi,1,2003,General News [Newspaper] POYi,2,Male,1,Middle Eastern OR Arab,7,Yes,1,Unclear,0,Assigned/Staff,1,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Low Angle,2,Medium,1,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,4 - Somewhat unpleasant,4
5,POYi,1,2003,General News [Magazine] POYi,1,Male,1,White,1,No,2,North America,1,Freelance,2,Multi-Subject [All Male],3,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,Straight On,3,Wide,3,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Partial Nudity,2,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,2 - Somewhat pleasant,2
6,POYi,1,2004,General News [Newspaper] POYi,2,Female,2,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Low Angle,2,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,1 - Very pleasant,1
7,POYi,1,2004,General News [Magazine] POYi,1,Female,2,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [All Female],4,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
8,POYi,1,2005,General News [Newspaper] POYi,2,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Single Subject [Male],1,White,1,North America,1,Middle East [inc. Palestine],3,Straight On,3,Medium,1,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,4 - Somewhat unpleasant,4
9,POYi,1,2005,General News [Magazine] POYi,1,Male,1,White,1,No,2,North America,1,Freelance,2,Multi-Subject [Mixed Gender],5,Black,2,Africa,6,Africa,6,Straight On,3,Wide,3,Black and White,1,Vertical,2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
10,POYi,1,2006,General News [Newspaper] POYi,2,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Low Angle,2,Wide,3,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,4 - Somewhat unpleasant,4
11,POYi,1,2006,General News [Magazine] POYi,1,Male,1,White,1,No,2,Europe,2,Freelance,2,Unclear,0,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Wide,3,Black and White,1,Horizontal,1,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
12,POYi,1,2007,General News [Newspaper] POYi,2,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Black,2,North America,1,North America,1,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,4 - Somewhat unpleasant,4
13,POYi,1,2007,General News [Magazine] POYi,1,Male,1,East Asian,3,No,2,East Asian,4,Unclear,0,Multi-Subject [Mixed Gender],5,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,High Angle,1,Medium,1,Black and White,1,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Total Nudity,1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,5 - Very unpleasant,5
14,POYi,1,2008,General News [Newspaper] POYi,2,Male,1,Mixed Race,8,Yes,1,North America,1,Assigned/Staff,1,Single Subject [Male],1,White,1,North America,1,North America,1,Straight On,3,Close-Up,2,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,4 - Somewhat unpleasant,4
15,POYi,1,2008,General News [Magazine] POYi,1,Male,1,White,1,No,2,Europe,2,Freelance,2,Unclear,0,Black,2,Unclear,0,Africa,6,High Angle,1,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
16,POYi,1,2009,General News [Newspaper] POYi,2,Female,2,White,1,No,2,Israel,11,Assigned/Staff,1,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,4 - Somewhat unpleasant,4
17,POYi,1,2010,General News [Newspaper] POYi,2,Male,1,White,1,No,2,North America,1,Freelance,2,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
18,POYi,1,2011,General News [Magazine] POYi,1,Male,1,White,1,No,2,Unclear,0,Freelance,2,Multi-Subject [All Male],3,Multiple Races Present,9,North America,1,Middle East [inc. Palestine],3,High Angle,1,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,4 - Somewhat unpleasant,4
19,POYi,1,2012,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Freelance,2,Unclear,0,Unclear or Not Applicable,0,Unclear,0,Europe,2,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,4 - Somewhat unpleasant,4
20,POYi,1,2013,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Freelance,2,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Straight On,3,Medium,1,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
21,POYi,1,2014,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Freelance,2,Single Subject [Male],1,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Straight On,3,Close-Up,2,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,5 - Very unpleasant,5
22,POYi,1,2014,Spot News [POYi],6,Female,2,Southeast Asian [inc. Pacific Islands/India],4,Yes,1,Southeast Asian [inc. Pacific Islands/India],5,Freelance,2,Multi-Subject [Mixed Gender],5,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,High Angle,1,Medium,1,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,5 - Very unpleasant,5
23,POYi,1,2015,General News [POYi or WPP],3,Male,1,White,1,No,2,Eastern European,12,Freelance,2,Unclear,0,Unclear or Not Applicable,0,Unclear,0,Eastern Europe,12,Straight On,3,Wide,3,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,5 - Very unpleasant,5
24,POYi,1,2015,Spot News [POYi],6,Male,1,Middle Eastern OR Arab,7,Yes,1,Middle East [inc. Palestine],3,Freelance,2,Object OR Landscape,7,Unclear or Not Applicable,0,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Unclear,0,Wide,3,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,4 - Somewhat unpleasant,4
25,WPPA,2,2001,Photo of the Year [WPPA],7,Female,2,White,1,No,2,North America,1,Unclear,0,Multi-Subject [Mixed Gender],5,Hispanic,5,South/Central America,8,North America,1,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
26,WPPA,2,2001,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Unclear,0,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Low Angle,2,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
27,WPPA,2,2002,Photo of the Year [WPPA],7,Male,1,White,1,No,2,Europe,2,Unclear,0,Single Subject [Male],1,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Medium,1,Black and White,1,Vertical,2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
28,WPPA,2,2002,General News [POYi or WPP],3,Male,1,Hispanic,5,Yes,1,South/Central America,8,Assigned/Staff,1,Single Subject [Female],2,Hispanic,5,South/Central America,8,South/Central America,8,Straight On,3,Medium,1,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Implicitly Present [Referenced symbolically],2,Not Present,0,4 - Somewhat unpleasant,4
29,WPPA,2,2003,Photo of the Year [WPPA],7,Male,1,Middle Eastern OR Arab,7,Yes,1,Middle East [inc. Palestine],3,Freelance,2,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Straight On,3,Wide,3,Black and White,1,Horizontal,1,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
30,WPPA,2,2003,General News [POYi or WPP],3,Male,1,White,1,No,2,Eastern European,12,Freelance,2,Multi-Subject [All Male],3,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,Straight On,3,Close-Up,2,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,4 - Somewhat unpleasant,4
31,WPPA,2,2004,Photo of the Year [WPPA],7,Male,1,White,1,No,2,Europe,2,Freelance,2,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,5 - Very unpleasant,5
32,WPPA,2,2004,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Freelance,2,Multi-Subject [All Female],4,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Medium,1,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,5 - Very unpleasant,5
33,WPPA,2,2005,Photo of the Year [WPPA],7,Male,1,Southeast Asian [inc. Pacific Islands/India],4,Yes,1,Southeast Asian [inc. Pacific Islands/India],5,Freelance,2,Single Subject [Female],2,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,High Angle,1,Medium,1,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,5 - Very unpleasant,5
34,WPPA,2,2005,General News [POYi or WPP],3,Male,1,Hispanic,5,Yes,1,South/Central America,8,Assigned/Staff,1,Single Subject [Female],2,Hispanic,5,South/Central America,8,South/Central America,8,High Angle,1,Wide,3,Color,2,Horizontal,1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
35,WPPA,2,2006,Photo of the Year [WPPA],7,Male,1,White,1,No,2,Europe,2,Unclear,0,Multi-Subject [Mixed Gender],5,Black,2,Africa,6,Africa,6,Straight On,3,Close-Up,2,Color,2,Horizontal,1,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
36,WPPA,2,2006,General News [POYi or WPP],3,Male,1,White,1,No,2,North America,1,Freelance,2,Multi-Subject [All Male],3,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Partial Nudity,2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,5 - Very unpleasant,5
37,WPPA,2,2007,Photo of the Year [WPPA],7,Male,1,White,1,No,2,North America,1,Freelance,2,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,4 - Somewhat unpleasant,4
38,WPPA,2,2007,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Freelance,2,Single Subject [Male],1,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Medium,1,Black and White,1,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,5 - Very unpleasant,5
39,WPPA,2,2008,Photo of the Year [WPPA],7,Male,1,White,1,No,2,Europe,2,Freelance,2,Single Subject [Male],1,White,1,North America,1,Middle East [inc. Palestine],3,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,4 - Somewhat unpleasant,4
